Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2013;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;5;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;189;89;88;11;29;81;97;1500;23400;1350;1770;40;9;7.8;1900;;1470;2330;_18;2;2;78;;;14;0;2;0;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;11;3;73;3;5;3,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;122;86;91;14;26;89;97;1570;24500;1300;1840;39;;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;119;79;31;10;36;50;67;1200;18700;ns;ns;53;76;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;93;86;30;10;37;9;30;20300;1250;ns;ns;57;;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;130;89;42;13;32;56;84;1400;21800;1270;1530;38;84;9.9;1870;;1490;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Information communication>Services et réseaux de communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Services et réseaux de communication;90;77;49;15;31;69;81;1310;20400;ns;ns;47;32;9.9;1870;;1490;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;21;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;9.9;1870;;1490;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;130;80;37;8;32;51;72;1320;20600;1200;1500;38;84;9.9;1870;;1490;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
