Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Code du secteur disciplinaire;Secteur disciplinaire;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administration publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2018;LICENCE PRO;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;1;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1930;SD24;1490;2380;disc06_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;8;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD24;1480;2280;disc06_07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;;7.8;1930;SD24;1490;2380;disc06_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;8;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD24;1480;2280;disc06_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;21;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD24;1480;2280;disc06_07_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;39;85;41;8;ns;63;95;ns;ns;ns;ns;26;;8.6;1865;SD24;1475;2280;disc06_07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;18;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;SD24;1475;2280;disc06_07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_07;Langues étrangères appliquées;5;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;SD24;1470;2330;disc06_07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD17;1490;2280;disc06_09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;12;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;9.3;1870;SD17;1480;2280;disc06_09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,
